No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
53,Burkina Faso,2015,39th,7.40,7.80,5.00,7.10,8.10,6.90,8.10,8.90,6.20,9.10,7.10,7.50,0.56,0.32,0.78,7.42,3.68,0.79,Warning
54,Kyrgyz Republic,2015,62nd,6.80,8.00,8.40,7.00,6.40,6.40,7.80,5.60,7.20,5.90,5.80,6.90,2.85,0.70,0.81,6.94,7.50,0.79,Warning
55,Comoros,2015,59th,7.20,7.50,5.00,8.00,7.00,7.80,6.80,8.00,6.10,7.60,4.50,7.80,4.00,1.44,0.63,7.40,4.29,0.72,Warning
56,Honduras,2015,76th,6.70,6.60,6.40,6.30,7.70,6.90,6.70,6.70,6.30,6.80,3.70,7.40,7.19,1.54,0.57,6.64,6.12,0.64,Warning
57,Bosnia and Herzegovina,2015,78th,6.20,8.70,7.10,5.80,5.60,5.50,7.00,4.10,5.80,6.10,7.30,8.20,6.58,3.58,0.66,6.83,4.97,0.67,Warning
58,Georgia,2015,70th,7.30,9.10,7.80,5.80,5.90,5.40,8.80,4.80,5.80,3.90,7.40,7.30,6.24,1.00,0.62,6.44,6.34,0.69,Warning
59,Cambodia,2015,42nd,6.70,8.20,7.40,6.40,7.10,7.50,8.40,7.70,8.30,7.00,5.80,7.40,1.45,0.08,0.40,5.67,4.69,0.41,Warning
60,Equatorial Guinea,2015,54th,7.00,8.20,6.30,5.20,9.00,6.00,9.80,7.10,9.70,7.70,3.30,5.50,0.14,1.66,0.60,7.11,5.35,0.69,Warning
61,Mozambique,2015,46th,7.00,6.90,5.90,7.80,8.60,7.40,7.20,9.00,6.10,8.70,5.00,7.30,0.00,0.92,0.65,7.68,3.51,0.64,Warning
62,Algeria,2015,67th,8.00,7.70,8.20,6.40,6.00,5.10,7.80,5.80,7.10,5.70,6.40,5.40,5.19,2.12,0.66,7.48,4.47,0.74,Warning
63,Bolivia,2015,76th,6.60,8.00,6.50,5.40,8.60,6.40,7.00,6.90,5.90,6.70,3.80,6.20,3.70,6.24,0.45,6.95,4.26,0.60,Warning
64,Malawi,2015,44th,4.80,7.70,5.40,8.60,8.40,8.10,6.90,7.80,6.20,8.80,6.10,8.10,0.00,1.32,0.62,6.09,4.55,0.72,Warning
65,Thailand,2015,71st,8.90,10.00,8.50,4.00,5.80,4.10,8.00,4.90,7.70,6.90,6.00,4.30,2.67,0.88,0.63,7.49,7.96,0.72,Warning
66,Senegal,2015,60th,6.20,6.60,6.30,7.30,7.30,7.40,5.50,7.90,6.20,8.00,7.80,6.50,0.00,1.18,0.76,7.82,5.02,0.80,Warning
67,Jordan,2015,81st,5.50,6.90,7.70,6.30,5.90,3.60,6.10,4.70,7.60,7.00,8.80,6.80,5.21,1.02,0.80,8.31,5.41,0.88,Warning
68,Papua New Guinea,2015,57th,6.90,7.10,6.30,6.20,9.00,7.10,6.90,8.70,6.60,7.30,4.60,6.70,0.19,1.20,0.92,5.28,6.46,0.95,Warning
69,Maldives,2015,91st,6.10,7.80,4.60,6.40,4.10,5.60,8.50,6.10,7.50,5.80,4.70,7.00,4.66,2.32,0.88,8.00,6.43,0.85,Warning
70,Israel and West Bank,2015,68th,7.00,8.10,9.70,3.90,6.90,3.80,6.30,5.30,7.40,6.00,7.40,7.60,0.76,2.54,0.70,7.54,5.45,0.77,Warning
71,Tunisia,2015,86th,7.80,8.10,7.80,6.60,5.40,5.50,7.00,4.90,7.00,4.70,4.10,6.90,0.23,3.06,0.44,8.22,8.22,0.55,Warning
72,Morocco,2015,89th,5.70,6.60,7.10,5.30,6.30,7.60,6.50,5.70,7.00,5.50,5.30,6.00,2.37,4.46,0.65,7.44,6.22,0.76,Warning
73,India,2015,69th,7.90,7.30,8.30,5.60,7.50,5.50,5.20,7.50,5.90,8.00,5.40,5.30,0.16,1.18,0.82,8.40,5.59,0.92,Warning
74,Venezuela,2015,74th,6.50,8.10,7.30,6.50,6.70,5.20,8.60,7.20,8.30,5.10,4.80,4.30,0.00,0.90,0.67,7.04,8.49,0.76,Warning
75,Turkmenistan,2015,78th,6.80,7.80,7.10,5.00,6.90,5.10,9.70,6.10,8.80,5.70,3.90,4.60,0.58,2.02,0.42,6.96,7.99,0.52,Warning
76,Russia,2015,65th,9.10,8.10,9.30,4.40,6.40,4.50,7.90,4.70,8.90,5.10,5.70,5.90,0.00,0.54,0.67,7.29,6.69,0.74,Warning
77,Azerbaijan,2015,80th,6.70,7.90,6.40,4.10,5.90,4.30,8.60,5.40,8.40,5.10,7.60,6.90,1.12,3.02,0.82,8.14,4.17,0.89,Warning
78,Turkey,2015,89th,7.70,7.30,9.00,5.00,6.20,3.70,6.30,4.90,6.40,5.50,7.50,5.00,1.02,1.98,0.66,8.30,8.24,0.63,Warning
79,Belarus,2015,87th,6.60,8.30,6.80,6.10,5.20,3.40,8.60,4.70,8.40,5.60,4.10,7.80,3.76,1.70,0.77,7.56,4.98,0.79,Warning
80,Benin,2015,73rd,6.20,6.10,3.90,6.60,7.50,6.80,6.20,8.60,5.60,8.20,6.00,7.10,3.97,0.52,0.70,7.00,3.46,0.71,Warning
81,Guatemala,2015,64th,7.00,6.00,7.90,6.00,8.00,6.70,6.60,7.40,6.60,7.30,5.50,5.40,0.01,1.52,0.83,8.09,3.40,0.87,Warning
82,Ukraine,2015,84th,7.90,8.00,7.00,6.50,4.70,5.50,8.50,3.80,6.40,4.50,4.40,9.10,0.95,1.86,0.67,6.50,7.91,0.75,Warning
83,Ghana,2015,100th,4.10,4.90,4.60,6.30,7.10,7.60,5.00,7.90,5.20,7.10,5.50,6.60,3.71,5.30,0.79,7.49,4.73,0.77,Warning
84,Madagascar,2015,56th,7.10,7.60,4.60,7.60,8.50,6.10,7.20,9.10,6.10,8.50,3.90,7.30,0.00,0.36,0.42,4.98,4.83,0.43,Warning
85,Lesotho,2015,66th,5.60,7.30,4.40,8.30,7.30,7.40,6.40,8.00,4.80,7.70,4.90,7.80,0.00,1.34,0.61,8.19,2.86,0.80,Warning
86,Indonesia,2015,88th,6.20,7.00,7.30,5.20,6.30,6.30,5.60,6.00,6.80,7.10,5.90,5.30,0.54,2.12,0.84,7.52,6.70,0.83,Warning
87,China,2015,83rd,5.90,7.20,8.30,3.40,7.40,4.60,8.00,6.20,9.20,7.40,5.60,3.20,0.00,1.82,0.78,8.17,4.76,0.85,Warning
88,Nicaragua,2015,72nd,5.60,6.80,6.50,6.20,7.90,8.10,7.30,7.20,5.30,6.20,4.60,7.30,0.00,0.54,0.41,5.51,6.76,0.55,Warning
89,Serbia,2015,92nd,6.00,8.00,8.10,6.70,5.30,5.30,5.70,4.70,4.90,5.50,7.00,6.60,0.07,1.94,0.82,7.47,7.74,0.81,Warning
90,Ecuador,2015,85th,6.70,8.20,7.80,5.30,6.80,6.20,7.00,6.30,5.10,5.70,5.20,5.60,0.00,2.60,0.62,7.78,4.90,0.72,Warning
91,Bhutan,2015,74th,5.00,7.50,7.90,5.70,6.90,6.80,5.00,6.60,6.50,6.00,6.90,7.90,2.59,0.64,0.41,5.96,3.69,0.48,Warning
92,Fiji,2015,82nd,6.70,7.90,7.00,6.70,6.80,7.60,7.40,4.50,6.90,4.70,3.40,7.20,1.26,1.74,0.88,7.68,3.19,0.86,Warning
93,Dominican Republic,2015,104th,5.20,6.20,5.80,5.30,6.30,7.60,6.00,6.80,5.50,6.80,3.80,5.90,7.29,0.76,0.31,6.20,5.89,0.47,Warning
94,Saudi Arabia,2015,101st,6.40,8.00,7.40,4.40,5.80,3.70,7.80,3.70,9.20,5.80,4.60,4.80,0.23,2.78,0.70,8.09,7.46,0.86,Warning
95,Armenia,2015,108th,5.30,7.00,5.40,6.00,5.00,6.00,7.00,4.10,6.50,3.60,7.00,6.80,7.31,1.22,0.81,7.63,4.00,0.83,Warning
96,Gabon,2015,104th,5.00,7.10,3.70,4.80,6.90,5.50,7.40,6.80,6.90,7.10,5.00,5.10,0.00,6.04,0.85,8.08,4.03,0.89,Warning
97,Vietnam,2015,97th,5.10,6.90,6.50,5.80,5.50,5.60,8.10,5.20,7.80,6.10,4.70,5.10,0.19,1.40,0.63,7.48,8.31,0.69,Warning
98,South Africa,2015,113th,5.30,5.60,5.50,6.30,7.40,4.90,5.30,6.40,4.30,7.00,5.90,3.10,2.55,4.98,0.36,7.43,7.94,0.49,Warning
99,Sao Tome and Principe,2015,93rd,5.50,6.30,4.50,8.40,6.50,7.90,6.10,5.80,3.80,6.70,4.30,7.90,0.00,1.32,0.76,7.74,5.80,0.84,Warning
100,Guyana,2015,107th,5.80,5.10,6.50,6.20,6.20,9.10,5.90,6.10,3.90,5.60,3.60,6.50,4.66,0.78,0.33,5.88,7.20,0.41,Warning
101,Paraguay,2015,103rd,6.50,7.80,5.90,5.10,8.40,5.20,7.10,6.70,6.10,5.90,2.20,4.40,1.54,0.66,0.65,8.16,6.33,0.80,Warning
102,Namibia,2015,106th,4.90,3.50,5.90,7.10,8.10,6.50,3.80,7.30,4.30,7.00,5.50,6.90,3.04,0.62,0.74,7.16,6.20,0.73,Warning
103,Bahrain,2015,119th,6.70,7.10,7.70,3.20,5.10,3.50,8.40,2.30,7.80,4.60,2.60,5.30,10.00,0.88,0.71,7.54,4.87,0.79,Warning
104,Micronesia,2015,94th,5.10,5.60,4.00,8.10,8.40,9.00,6.00,5.70,3.10,7.10,3.20,8.30,0.00,0.78,0.31,7.68,5.73,0.44,Warning
105,Cyprus,2015,114th,4.40,7.90,7.00,6.70,6.40,4.50,5.30,3.00,3.30,4.00,4.50,9.20,4.90,1.88,0.79,8.02,5.87,0.85,Warning
106,Kazakhstan,2015,110th,5.70,7.60,7.00,6.50,4.70,3.60,8.00,4.50,7.50,5.00,3.50,4.70,2.95,1.84,0.68,7.57,6.44,0.73,Warning
107,Mexico,2015,99th,8.00,5.10,6.40,4.60,6.60,5.80,5.90,6.80,6.50,6.20,4.40,5.50,0.47,0.98,0.56,7.47,6.43,0.70,Warning
108,Peru,2015,98th,7.10,6.70,7.50,3.70,7.30,6.70,7.10,7.10,4.60,5.30,4.80,4.00,0.00,1.32,0.40,7.68,5.57,0.55,Warning
109,Moldova,2015,96th,6.60,7.80,6.50,6.30,5.30,6.40,6.30,5.40,5.40,5.30,4.40,7.30,0.00,1.46,0.78,5.80,5.46,0.85,Warning
110,Suriname,2015,109th,5.40,5.80,5.80,6.80,6.60,7.30,5.50,5.80,4.90,5.30,3.00,6.20,0.00,1.60,0.89,7.63,7.54,0.89,Warning
111,El Salvador,2015,102nd,6.50,4.30,6.30,5.90,6.60,6.90,4.80,6.70,6.10,6.90,5.10,5.30,0.00,1.72,0.67,7.59,4.07,0.74,Warning
112,Samoa,2015,111th,5.20,5.10,4.50,6.50,5.40,8.90,6.20,5.00,4.50,6.20,2.10,8.60,0.00,3.94,0.85,6.82,5.39,0.85,Warning
113,Cape Verde,2015,94th,5.70,5.50,4.00,6.20,7.50,8.60,5.70,6.50,4.50,7.10,4.10,8.10,0.00,1.52,0.49,5.55,3.39,0.51,Warning
114,Grenada,2015,120th,5.60,5.60,3.80,5.90,5.30,8.40,5.90,3.70,3.70,5.20,3.20,7.10,6.76,0.34,0.55,6.14,6.85,0.58,Warning
115,Malaysia,2015,115th,6.80,6.50,6.20,3.60,5.30,4.50,6.90,4.70,7.20,5.80,4.20,4.20,2.96,0.58,0.82,7.16,5.90,0.91,Warning
116,Albania,2015,125th,4.70,6.20,5.00,5.20,4.20,7.10,6.20,4.50,5.50,4.10,3.10,6.10,7.41,3.50,0.72,7.78,2.16,0.76,Warning
117,Jamaica,2015,117th,6.30,3.70,3.90,7.10,5.90,7.80,5.30,5.80,4.90,5.20,3.00,5.70,1.76,0.70,0.91,8.09,6.40,0.92,Warning
118,Cuba,2015,112th,5.70,7.00,4.50,4.50,5.90,5.70,7.00,4.70,7.30,5.60,4.50,5.00,0.31,1.22,0.78,7.94,4.33,0.77,Warning
119,Macedonia,2015,118th,5.40,7.00,7.00,5.70,5.60,5.50,5.50,4.40,3.90,3.30,5.30,5.90,0.28,1.18,0.50,7.93,6.50,0.50,Warning
120,Seychelles,2015,124th,6.60,5.70,4.50,4.60,6.00,5.50,5.70,3.20,4.60,5.10,3.10,7.50,0.00,3.78,0.43,7.01,7.49,0.49,Warning
121,Belize,2015,116th,5.80,4.30,4.10,5.90,6.20,6.50,5.70,5.80,4.10,5.90,4.10,6.90,0.35,0.22,0.84,8.08,4.21,0.90,Stable
122,Brunei Darussalam,2015,121st,5.60,7.40,5.90,2.80,7.80,4.60,8.00,2.20,7.70,4.20,2.70,4.10,2.45,2.28,0.68,7.45,3.12,0.75,Stable
123,Brazil,2015,123rd,5.90,4.90,5.90,3.90,7.70,4.10,5.10,5.90,5.80,7.60,3.10,2.70,2.93,0.32,0.66,6.45,4.84,0.70,Stable
124,Kuwait,2015,128th,3.90,7.50,4.70,3.00,4.70,3.10,7.30,2.50,7.30,5.10,4.00,4.40,3.29,0.70,0.70,7.40,6.81,0.74,Stable
125,Bulgaria,2015,130th,4.10,5.30,5.20,6.20,4.90,4.60,5.00,4.20,3.40,4.20,3.50,4.80,6.25,0.60,0.71,7.88,5.30,0.86,Stable
126,Mongolia,2015,129th,4.00,5.50,4.30,4.30,6.40,3.10,4.50,5.70,4.80,5.50,2.40,6.50,0.27,3.60,0.38,8.06,7.16,0.51,Stable
127,Botswana,2015,122nd,3.50,3.30,5.40,6.30,7.70,5.10,3.80,6.00,4.40,7.50,5.20,4.60,0.08,1.36,0.69,7.65,3.37,0.75,Stable
128,Croatia,2015,137th,4.00,4.40,5.70,5.30,3.80,4.50,3.40,2.90,4.10,3.60,4.90,4.40,6.40,3.22,0.80,7.73,5.96,0.82,Stable
129,Antigua and Barbuda,2015,127th,5.20,3.70,3.90,5.00,5.00,7.30,5.90,3.90,4.50,4.60,3.00,5.80,5.90,1.46,0.48,5.23,3.35,0.53,Stable
130,Trinidad and Tobago,2015,126th,5.70,5.60,4.10,4.30,5.50,7.50,5.00,4.80,4.60,5.00,3.00,3.60,0.53,0.66,0.89,4.90,7.34,0.94,Stable
131,Oman,2015,135th,4.70,6.60,3.00,4.50,4.20,1.90,6.60,3.80,7.50,5.00,2.00,2.20,0.00,5.38,0.54,8.18,5.92,0.64,Stable
132,Barbados,2015,138th,4.30,4.20,4.10,5.70,5.10,5.40,3.00,2.70,2.90,3.80,2.70,5.40,8.58,1.18,0.46,7.16,4.87,0.58,Stable
133,Greece,2015,134th,4.50,3.70,5.00,6.50,4.20,3.80,6.50,3.90,3.40,3.60,1.60,5.90,2.61,0.56,0.91,8.09,5.89,0.92,Stable
134,Romania,2015,132nd,3.50,5.20,6.80,5.20,4.70,4.50,5.60,4.30,3.90,3.70,2.70,4.10,0.70,1.04,0.61,6.26,6.72,0.69,Stable
135,Montenegro,2015,132nd,4.00,6.30,7.30,4.60,2.90,3.60,4.00,3.60,4.20,3.30,4.50,5.90,0.00,1.98,0.73,6.31,6.11,0.78,Stable
136,Panama,2015,131st,5.10,2.50,5.60,3.40,7.30,4.00,4.00,5.50,4.80,5.70,3.50,3.20,0.00,0.66,0.48,6.14,6.02,0.53,Stable
137,United Arab Emirates,2015,144th,3.10,3.60,3.90,2.90,4.20,2.50,6.60,2.70,7.10,4.50,2.20,2.90,3.09,0.76,0.49,7.44,8.06,0.60,Stable
138,Latvia,2015,140th,3.50,4.30,7.40,4.00,4.60,4.40,3.90,3.40,3.00,3.40,2.90,3.80,2.11,0.30,0.59,6.60,6.30,0.59,Stable
139,Mauritius,2015,145th,2.80,3.20,3.80,4.70,4.30,4.20,3.50,3.80,3.40,4.10,2.20,5.20,3.63,1.54,0.70,6.28,5.48,0.79,Stable
140,Bahamas,2015,136th,4.00,4.50,4.10,4.70,5.00,5.00,4.30,4.40,3.00,6.10,2.80,3.70,0.00,0.24,0.72,7.08,3.11,0.76,Stable
141,Argentina,2015,141st,3.60,2.80,5.00,4.90,5.40,3.00,4.70,4.30,4.10,3.80,2.00,4.00,0.05,3.24,0.70,7.61,3.44,0.78,Stable
142,Qatar,2015,143rd,2.50,5.00,4.60,2.60,5.20,3.10,6.00,1.80,6.20,4.30,1.80,3.20,0.04,1.36,0.42,7.76,6.74,0.52,Stable
143,Hungary,2015,139th,2.40,5.30,4.70,5.90,4.30,3.30,6.60,3.30,4.50,2.30,2.50,4.00,0.00,0.98,0.42,6.28,5.73,0.49,Stable
144,Spain,2015,151st,3.30,6.10,5.80,5.00,4.00,2.40,3.30,2.70,1.90,2.50,1.70,2.20,2.59,2.66,0.37,7.31,7.38,0.43,Stable
145,Costa Rica,2015,142nd,3.10,3.80,4.70,4.30,5.50,3.50,2.90,4.50,2.10,4.10,3.90,4.30,0.41,3.46,0.46,5.87,4.00,0.43,Stable
146,Italy,2015,147th,4.40,4.90,4.90,5.60,3.40,2.00,4.20,2.30,2.50,3.10,3.70,2.20,0.06,2.74,0.50,6.94,6.96,0.65,Stable
147,Slovak Republic,2015,149th,2.30,3.70,5.90,5.10,4.00,4.20,3.70,2.90,2.70,2.80,2.00,3.30,0.00,2.64,0.66,7.51,6.65,0.72,Stable
148,Lithuania,2015,148th,3.00,3.00,4.30,5.00,5.00,4.20,3.20,4.00,2.40,3.30,2.60,3.00,0.00,4.12,0.84,6.62,3.42,0.83,Stable
149,Chile,2015,150th,3.10,1.70,4.10,3.60,5.10,3.20,3.00,4.50,3.40,5.10,2.10,2.60,4.01,0.92,0.28,5.16,5.97,0.39,Stable
