No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
150,Mauritius,2013,148th,3.30,3.20,3.50,4.10,4.80,3.60,4.10,3.80,3.50,3.80,2.20,4.60,2.17,1.74,0.69,6.01,2.50,0.78,Stable
151,Estonia,2013,145th,2.90,5.50,5.90,3.50,4.30,3.90,3.80,3.00,2.40,3.50,3.30,3.30,0.35,1.16,0.44,5.68,3.16,0.59,Stable
152,Poland,2013,153rd,2.50,3.60,3.80,3.50,3.90,5.00,3.40,2.80,2.90,3.50,2.80,3.30,0.00,3.10,0.66,7.21,3.38,0.68,Stable
153,Uruguay,2013,155th,3.70,2.70,2.80,3.60,4.40,4.70,1.70,3.40,2.30,3.80,1.90,3.50,0.00,1.30,0.71,5.86,8.09,0.77,Stable
154,Czech Republic,2013,154th,2.10,4.20,3.80,4.50,3.80,3.40,4.10,3.70,2.40,2.50,2.20,3.20,0.00,1.50,0.86,7.82,2.93,0.87,Stable
155,South Korea,2013,157th,2.10,3.60,3.10,2.00,2.90,3.90,2.90,1.90,2.60,3.00,2.00,5.40,0.00,4.96,0.74,6.54,5.00,0.77,Stable
156,Belgium,2013,164th,2.00,3.90,4.10,3.50,3.80,1.80,2.10,2.20,1.50,2.50,1.60,2.00,7.24,2.88,0.84,7.09,2.90,0.80,Stable
157,Japan,2013,156th,1.70,2.60,3.80,3.70,1.80,2.00,2.20,2.50,3.00,5.40,3.70,3.70,0.00,2.44,0.86,8.19,3.21,0.89,Stable
158,United Kingdom,2013,160th,2.70,3.50,5.00,4.10,3.60,2.10,1.60,2.30,1.80,2.50,2.70,1.30,1.46,1.58,0.48,7.51,6.68,0.47,Stable
159,Singapore,2013,158th,1.50,4.00,2.70,3.00,3.70,3.30,3.20,1.90,4.90,2.50,1.10,2.20,0.08,0.56,0.68,7.33,7.57,0.73,Stable
160,United States,2013,159th,2.20,3.90,4.20,3.20,4.80,1.00,2.30,2.40,3.20,3.00,2.30,1.00,0.00,1.64,0.77,6.78,6.74,0.72,Stable
161,France,2013,161st,2.30,1.90,5.90,4.00,4.30,1.90,2.20,1.50,2.40,2.70,2.20,1.40,0.00,4.08,0.75,6.96,3.42,0.72,Sustainable
162,Denmark,2013,174th,1.50,1.40,3.40,1.90,1.60,1.90,1.00,1.40,1.70,2.50,1.60,2.00,4.48,11.84,0.39,5.08,3.93,0.45,Sustainable
163,Slovenia,2013,163rd,2.50,1.60,3.30,3.60,4.50,3.20,2.80,2.10,2.50,2.50,1.40,2.30,1.48,1.76,0.70,7.27,3.44,0.70,Sustainable
164,Austria,2013,166th,1.10,2.70,4.30,1.90,4.00,1.60,1.50,1.50,2.00,2.30,2.40,1.60,4.84,1.04,0.94,8.21,4.05,0.93,Sustainable
165,Portugal,2013,161st,1.60,1.30,2.30,5.40,3.40,2.60,2.10,3.50,2.70,2.80,1.60,3.30,0.00,0.10,0.68,7.26,3.44,0.77,Sustainable
166,Iceland,2013,171st,1.00,1.80,1.00,3.70,1.70,2.80,1.40,1.60,1.30,1.60,1.60,5.20,5.83,0.72,0.50,7.28,3.87,0.61,Sustainable
167,Canada,2013,168th,1.80,2.50,3.10,1.80,3.50,2.10,1.50,2.00,2.00,2.60,2.10,1.00,5.02,1.46,0.45,6.75,2.93,0.55,Sustainable
168,Netherlands,2013,166th,1.80,2.60,4.10,3.50,2.30,2.20,1.00,1.50,1.00,3.00,2.40,1.50,0.05,1.38,0.49,7.58,5.73,0.63,Sustainable
169,Germany,2013,165th,2.20,2.00,4.30,2.60,3.90,2.20,1.40,1.80,1.90,2.40,3.60,1.40,1.24,0.82,0.35,5.98,3.65,0.45,Sustainable
170,Luxembourg,2013,172nd,2.30,3.40,2.80,1.50,1.50,2.10,1.90,1.30,1.00,1.70,1.80,2.00,0.00,2.68,0.66,7.36,4.09,0.77,Sustainable
171,New Zealand,2013,173rd,1.10,1.10,3.50,3.60,3.40,2.40,0.50,1.80,1.20,2.10,1.10,1.00,0.00,1.36,0.36,7.34,5.00,0.41,Sustainable
172,Ireland,2013,170th,1.80,1.30,1.60,3.90,2.50,2.80,1.90,1.90,1.30,2.20,1.40,2.20,0.03,1.38,0.61,6.85,2.59,0.68,Sustainable
173,Finland,2013,178th,1.00,1.10,1.40,3.20,1.00,2.30,1.00,1.50,1.10,1.90,1.60,1.00,6.06,1.88,0.31,6.28,3.73,0.43,Sustainable
174,Switzerland,2013,175th,1.40,1.00,3.50,2.30,2.30,2.10,0.80,1.40,1.70,2.10,1.50,1.40,0.06,2.20,0.30,5.47,6.67,0.42,Sustainable
175,Australia,2013,169th,1.70,1.60,3.60,2.10,3.30,1.10,1.00,1.80,2.20,3.30,2.70,1.00,0.07,0.98,0.73,7.44,1.00,0.74,Sustainable
176,Norway,2013,175th,2.70,1.10,3.60,1.90,1.50,1.60,0.50,1.40,1.90,2.00,1.90,1.30,0.00,1.14,0.91,8.12,3.52,0.91,Sustainable
177,Sweden,2013,177th,2.20,1.80,1.00,1.70,1.70,1.70,0.50,1.90,1.30,2.50,2.40,1.00,0.00,2.94,0.69,6.75,4.19,0.65,Sustainable
