No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
130,Antigua and Barbuda,2014,127th,4.90,3.70,4.10,4.50,5.30,7.60,5.80,4.10,4.70,4.90,3.30,6.10,5.90,1.46,0.48,5.23,3.35,0.53,Stable
131,Barbados,2014,138th,4.20,4.20,4.40,5.80,5.40,5.90,3.30,3.00,2.80,4.10,3.00,5.30,8.58,1.18,0.46,7.16,4.87,0.58,Stable
132,Oman,2014,135th,5.00,6.60,2.70,4.80,3.90,2.10,6.40,4.10,7.40,5.30,2.30,2.50,0.00,5.38,0.54,8.18,5.92,0.64,Stable
133,Romania,2014,130th,3.80,5.20,6.60,5.70,5.00,4.40,6.10,4.60,4.20,4.00,3.00,4.30,0.70,1.04,0.61,6.26,6.72,0.69,Stable
134,Montenegro,2014,131st,4.30,6.30,7.00,4.90,3.20,3.30,4.30,3.90,4.50,3.60,4.80,5.60,0.00,1.98,0.73,6.31,6.11,0.78,Stable
135,Greece,2014,137th,4.20,3.50,5.10,6.50,4.00,4.10,6.40,3.60,3.70,3.50,1.90,5.60,2.61,0.56,0.91,8.09,5.89,0.92,Stable
136,Panama,2014,131st,4.80,2.50,5.30,3.70,7.60,4.20,4.60,5.20,4.70,5.60,4.00,3.50,0.00,0.66,0.48,6.14,6.02,0.53,Stable
137,United Arab Emirates,2014,143rd,3.10,3.60,4.00,3.40,4.50,2.70,6.70,3.20,6.50,4.20,2.50,3.20,3.09,0.76,0.49,7.44,8.06,0.60,Stable
138,Bahamas,2014,134th,4.30,4.50,4.40,4.70,5.30,5.30,4.60,4.70,3.10,6.50,2.70,4.00,0.00,0.24,0.72,7.08,3.11,0.76,Stable
139,Qatar,2014,139th,2.80,5.00,4.90,2.90,5.10,3.40,6.20,2.30,5.90,4.60,2.10,3.70,0.04,1.36,0.42,7.76,6.74,0.52,Stable
140,Mauritius,2014,145th,3.10,3.20,3.50,4.40,4.60,3.90,3.80,4.10,3.70,4.40,2.50,4.90,3.63,1.54,0.70,6.28,5.48,0.79,Stable
141,Latvia,2014,142nd,3.30,4.30,5.80,4.30,4.60,4.10,4.20,3.70,3.30,3.70,3.20,3.50,2.11,0.30,0.59,6.60,6.30,0.59,Stable
142,Spain,2014,150th,3.60,6.10,6.10,5.30,3.80,2.70,3.40,3.00,2.20,3.00,2.00,1.90,2.59,2.66,0.37,7.31,7.38,0.43,Stable
143,Slovak Republic,2014,146th,2.60,3.70,5.60,5.40,4.30,4.50,4.00,3.20,3.00,3.10,2.30,3.60,0.00,2.64,0.66,7.51,6.65,0.72,Stable
144,Costa Rica,2014,140th,2.80,3.80,4.40,4.60,5.80,3.20,3.20,4.80,2.30,4.60,4.40,4.60,0.41,3.46,0.46,5.87,4.00,0.43,Stable
145,Argentina,2014,144th,3.30,2.80,5.30,4.30,5.70,2.70,4.30,4.10,4.40,4.20,2.30,3.90,0.05,3.24,0.70,7.61,3.44,0.78,Stable
146,Hungary,2014,141st,2.60,4.90,4.40,5.60,4.60,3.60,6.00,3.20,4.10,2.80,2.80,3.70,0.00,0.98,0.42,6.28,5.73,0.49,Stable
147,Italy,2014,148th,4.70,4.90,4.60,5.10,3.30,2.30,4.20,2.60,2.80,3.60,3.40,1.90,0.06,2.74,0.50,6.94,6.96,0.65,Stable
148,Lithuania,2014,149th,2.70,3.00,4.00,4.80,5.30,4.00,3.50,3.70,2.70,3.60,2.90,3.00,0.00,4.12,0.84,6.62,3.42,0.83,Stable
149,Malta,2014,151st,3.70,2.00,4.00,3.90,3.20,4.30,3.80,2.60,3.60,3.10,4.90,3.90,0.00,1.18,0.49,8.17,5.59,0.51,Stable
150,Poland,2014,152nd,2.60,3.80,4.10,4.00,3.80,4.70,3.50,3.10,2.80,3.60,3.10,3.00,0.00,2.78,0.66,7.27,5.45,0.68,Stable
151,Chile,2014,153rd,2.80,1.70,3.80,3.90,5.40,2.90,3.30,4.20,3.70,4.60,2.60,3.10,4.01,0.92,0.28,5.16,5.97,0.39,Stable
152,Estonia,2014,147th,2.80,5.50,6.20,3.80,4.00,3.80,3.50,3.30,2.50,3.60,3.20,3.00,0.01,1.06,0.44,5.76,5.53,0.58,Stable
153,South Korea,2014,156th,2.40,3.60,3.10,2.30,3.20,3.60,2.80,2.10,2.90,2.90,1.80,5.70,0.00,4.88,0.76,6.65,7.34,0.78,Stable
154,Japan,2014,157th,1.90,2.60,4.10,3.60,2.10,2.30,2.00,2.40,3.30,4.70,3.40,3.90,0.00,2.38,0.87,8.24,6.42,0.90,Stable
155,Uruguay,2014,155th,3.40,2.70,2.70,3.50,4.50,4.40,1.60,3.70,2.20,3.80,2.20,3.20,0.00,1.32,0.72,5.97,8.22,0.78,Stable
156,Czech Republic,2014,154th,2.30,4.30,3.80,4.80,3.50,3.10,4.20,3.40,2.40,2.40,2.30,2.90,0.00,1.32,0.88,7.86,4.49,0.88,Stable
157,France,2014,160th,2.60,1.90,6.40,4.50,4.00,2.20,2.10,1.80,2.20,3.00,2.50,1.60,1.99,4.08,0.78,7.00,5.22,0.73,Stable
158,Austria,2014,167th,1.40,2.70,4.60,2.20,3.70,1.80,1.60,1.80,2.00,2.70,2.30,1.70,8.12,0.98,0.94,8.24,6.07,0.94,Stable
159,United States,2014,159th,2.70,4.00,4.50,3.10,4.50,1.20,2.40,2.50,3.50,3.30,2.40,1.30,0.08,1.26,0.77,6.82,8.35,0.72,Stable
160,United Kingdom,2014,161st,2.80,3.50,5.30,4.00,3.40,2.10,1.70,2.40,2.10,2.80,2.70,1.50,0.41,1.22,0.49,7.54,8.48,0.48,Stable
161,Singapore,2014,158th,2.00,4.00,2.80,2.80,4.00,3.60,3.50,2.10,4.90,2.80,1.40,2.00,0.00,0.56,0.68,7.38,6.93,0.74,Stable
162,Portugal,2014,162nd,1.90,1.80,2.30,5.20,3.20,2.50,2.30,3.30,2.60,3.10,1.90,3.00,2.58,0.04,0.69,7.29,7.37,0.79,Stable
163,Slovenia,2014,163rd,2.40,1.60,3.60,3.90,4.20,2.90,2.90,2.30,2.30,2.40,1.60,2.50,0.29,1.94,0.70,7.29,7.11,0.70,Stable
164,Belgium,2014,164th,2.30,3.90,4.20,4.00,3.50,1.90,2.00,2.40,1.50,2.80,1.60,1.90,1.16,2.32,0.83,7.13,5.44,0.80,Sustainable
165,Australia,2014,169th,2.00,1.60,3.90,2.40,3.00,0.90,1.00,2.10,2.30,3.40,2.40,1.30,9.39,1.12,0.73,7.47,2.95,0.74,Sustainable
166,Netherlands,2014,166th,2.10,2.60,4.10,3.70,2.40,2.40,1.00,1.80,1.20,3.30,2.40,1.60,3.04,1.16,0.50,7.62,6.68,0.65,Sustainable
167,Denmark,2014,176th,1.80,1.40,3.40,2.20,1.80,2.00,0.80,1.70,1.60,2.80,1.40,1.90,4.01,11.14,0.41,5.15,3.59,0.47,Sustainable
168,Canada,2014,168th,2.10,2.50,3.40,2.10,3.20,2.20,1.20,2.30,2.10,2.70,2.30,1.30,5.29,1.38,0.46,6.84,3.00,0.56,Sustainable
169,Germany,2014,165th,2.40,2.00,4.30,2.90,3.60,2.40,1.50,1.90,1.80,2.90,3.30,1.60,0.10,1.18,0.36,6.02,5.69,0.45,Sustainable
170,Ireland,2014,170th,2.10,1.30,1.60,4.20,2.70,3.10,1.80,2.20,1.20,2.50,1.40,2.00,0.00,1.18,0.62,6.89,5.77,0.69,Sustainable
171,Norway,2014,175th,2.80,1.10,3.70,2.00,1.70,1.90,0.50,1.70,1.60,2.30,2.20,1.50,0.00,1.12,0.92,8.16,6.72,0.91,Sustainable
172,Luxembourg,2014,172nd,2.30,3.40,2.80,1.80,1.80,2.40,1.60,1.60,1.30,2.00,1.70,1.90,0.00,2.14,0.66,7.42,4.80,0.76,Sustainable
173,New Zealand,2014,173rd,1.40,1.10,3.80,3.90,3.10,2.20,0.50,2.10,1.10,2.40,1.20,1.30,0.00,1.12,0.37,7.40,6.20,0.41,Sustainable
174,Iceland,2014,171st,1.30,1.80,1.00,3.90,1.90,3.10,1.20,1.90,1.40,1.90,1.60,4.90,0.00,0.70,0.52,7.31,3.80,0.62,Sustainable
175,Sweden,2014,177th,2.40,1.80,1.00,2.00,1.80,1.80,0.80,1.80,1.30,2.80,2.60,1.30,0.00,2.64,0.71,6.79,6.38,0.67,Sustainable
176,Switzerland,2014,174th,1.70,1.00,3.50,2.20,2.40,2.40,0.90,1.70,1.70,2.40,1.80,1.60,0.00,2.18,0.30,5.54,6.72,0.42,Sustainable
177,Finland,2014,178th,1.30,1.10,1.30,3.50,1.30,2.20,0.80,1.40,1.20,1.80,1.50,1.30,0.00,2.06,0.32,6.41,4.46,0.44,Sustainable
