No,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
153,Czech Republic,2015,154th,Stable,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2.0,2.6
154,Uruguay,2015,155th,Stable,3.7,2.7,3.0,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9
155,South Korea,2015,156th,Stable,2.1,3.8,3.4,2.0,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4
156,Japan,2015,157th,Stable,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6
157,United States,2015,158th,Stable,2.8,4.0,5.0,2.8,4.8,1.5,2.4,2.1,3.7,3.0,2.1,1.1
158,Singapore,2015,159th,Stable,1.6,4.0,3.1,2.5,4.0,3.3,3.8,1.8,4.6,2.9,1.1,1.7
159,France,2015,160th,Stable,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4
160,United Kingdom,2015,161st,Stable,2.5,3.5,5.6,3.9,3.7,2.1,2.0,2.1,1.8,2.6,2.4,1.2
161,Slovenia,2015,162nd,Stable,2.1,1.6,3.9,4.2,3.9,2.8,2.6,2.0,2.0,2.8,1.4,2.3
162,Belgium,2015,163rd,Stable,2.0,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5
163,Portugal,2015,164th,Sustainable,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5
164,Germany,2015,165th,Sustainable,2.1,2.0,4.6,2.9,3.3,2.1,1.2,1.6,1.5,2.5,3.0,1.3
165,Netherlands,2015,166th,Sustainable,1.8,2.6,3.9,3.4,2.7,2.6,1.0,1.5,1.0,3.0,2.1,1.2
166,Austria,2015,167th,Sustainable,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2.0,1.7
167,Canada,2015,168th,Sustainable,2.2,2.5,3.9,1.8,3.0,2.2,0.9,2.0,1.8,2.4,2.0,1.0
168,Ireland,2015,169th,Sustainable,1.8,1.3,1.9,4.1,2.7,2.8,1.5,1.9,1.2,2.2,1.4,1.9
169,Australia,2015,170th,Sustainable,2.1,1.6,4.4,2.1,2.7,1.0,1.1,2.0,2.4,1.8,2.1,1.0
170,Iceland,2015,171st,Sustainable,1.0,1.8,1.3,3.6,1.6,2.8,0.9,1.7,1.1,1.6,1.4,4.6
171,New Zealand,2015,172nd,Sustainable,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1.0,1.9,1.1,1.1
172,Switzerland,2015,173rd,Sustainable,1.4,1.0,3.6,2.0,2.7,2.1,1.0,1.4,1.8,1.9,2.1,1.3
173,Luxembourg,2015,174th,Sustainable,2.0,3.4,3.1,1.5,1.5,2.1,1.3,1.3,1.0,1.7,1.7,1.6
174,Denmark,2015,175th,Sustainable,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4
175,Norway,2015,176th,Sustainable,2.5,1.1,3.7,1.7,2.0,1.6,0.4,1.4,1.3,2.0,1.9,1.2
176,Sweden,2015,177th,Sustainable,2.1,1.8,1.3,2.3,1.8,1.5,1.0,1.6,1.0,2.5,2.3,1.0
177,Finland,2015,178th,Sustainable,1.4,1.1,1.6,3.8,1.0,2.3,0.5,1.2,0.9,1.5,1.5,1.0
